Paper ID	PaperTitle	AuthorNames
556	Towards Balanced Representation Learning for Credit Policy Evaluation	"Huang, Yiyan; Leung, Cheuk Hang; Ma, Shumin; Yuan, Zhiri; Wu, Qi*; WANG, SIYI; Wang, Dongdong; Huang, Zhixiang"
562	Convergence of Stein Variational Gradient Descent under a Weaker Smoothness Condition  	"Sun, Lukang; Karagulyan, Avetik *; Richtarik, Peter"
566	MARS: Masked Automatic Ranks Selection in Tensor Decompositions	"Kodryan, Maxim*; Kropotov, Dmitry; Vetrov, Dmitry  P"
567	Learning from Multiple Sources for Data-to-Text and Text-to-Data	"Duong, Song*; Lumbreras, Alberto; Gartrell, Mike; Gallinari, Patrick"
571	Sparse Bayesian optimization	"Liu, Sulin; Feng, Qing; Eriksson, David*; Letham, Benjamin; Bakshy, Eytan"
572	On the bias of K-fold cross validation with stable learners	"Aghbalou, Anass*; Sabourin, Anne; Portier, François"
578	Bayesian Convolutional Deep Sets with Task-Dependent Stationary Prior	"Jung, Yohan*; Park, Jinkyoo"
579	Sample Efficiency of Data Augmentation Consistency Regularization	"Yang, Shuo*; Dong, Yijun; Ward, Rachel; Dhillon, Inderjit S.; Sanghavi, Sujay; Lei, Qi"
584	ANACONDA: Improved Dynamic Regret Algorithm for Adaptive Non-Stationary Dueling Bandits	"Kleine Buening, Thomas*; Saha, Aadirupa"
585	Deep Joint Source Channel Coding with Iterative Source Error Correction	"Lee, Changwoo*; Hu, Xiao; Kim, Hun Seok"
588	On-Demand Communication for Asynchronous Multi-Agent Bandits	"Chen, Yu-Zhen Janice*; Yang, Lin; Wang, Xuchuang; Liu, Xutong; Hajiesmaili, Mohammad; Lui, John C. S.; Towsley, Don"
589	The ELBO of Variational Autoencoders Converges to a Sum of Entropies	"Damm, Simon*; Forster, Dennis; Velychko, Dmytro; Dai, Zhenwen; Fischer, Asja; Lücke, Jörg"
591	"Autoencoded sparse Bayesian in-IRT factorization, calibration, and amortized inference for the Work Disability Functional Assessment Battery "	"Chang, Joshua C*; Chow , Carson C; Porcino, Julia"
594	Generalized PTR: User-Friendly Recipes for Data-Adaptive Algorithms with Differential Privacy	"Redberg, Rachel*; Zhu, Yuqing; Wang, Yu-Xiang"
596	Provably Efficient Reinforcement Learning via Surprise Bound	"Zhu, Hanlin*; Wang, Ruosong; Lee, Jason"
600	FAIR: Fair Collaborative Active Learning with Individual Rationality for Scientific Discovery	"Xu, Xinyi*; Wu, Zhaoxuan; Verma, Arun; Foo, Chuan Sheng; Low, Bryan Kian Hsiang"
605	Learning a Schrödinger Bridge	"Stromme, Austin*"
606	A Multi-Task Gaussian Process Model for Inferring Time-Varying Treatment Effects in Panel Data	"Chen, Yehu*; Garnett, Roman; Montgomery, Jacob M; Prati, Annamaria"
609	Deep Grey-Box Models With Adaptive Data-Driven Models Toward Trustworthy Estimation of Theory-Driven Models	"Takeishi, Naoya*; Kalousis, Alexandros"
610	Active Learning for Single Neuron Models with Lipschitz Non-Linearities	"Gajjar, Aarshvi*; Musco, Christopher; Hegde, Chinmay"
614	Exploration in Reward Machines with Low Regret	"Bourel, Hippolyte; Jonsson, Anders; Maillard, Odalric; Talebi, Mohammad Sadegh*"
617	On Universal Portfolios with Continuous Side Information	"Bhatt, Alankrita*; Ryu, Jongha J; Kim, Young-Han"
622	Likelihood-Based Generative Radiance Field with Latent Space Energy-Based Model for 3D-Aware Disentangled Image Representation	"zhu, yaxuan*; Xie, Jianwen; Li, Ping"
629	The Lauritzen-Chen Likelihood For Graphical Models	"Shpitser, Ilya*"
